group_id,chunk_id,topic,category,risk_level,title,text,source_id,allowed_use,blocked_use,language
G01,C011,exam_day,exam_skills,L0_NORMAL,"Managing exam day","On exam day, arrive early, read each question carefully, and plan your time per section. If you get stuck, move on and return later. A short pause and slow breath can help if your mind goes blank.",S002,"Give general exam-day strategy advice","Provide medical advice",en
G01,C012,exam_anxiety,coping_skill,L1_STRESS,"When your mind goes blank","Going blank in an exam is common and usually temporary. Put your pen down, take a few slow breaths, and start with a question you find easier. Recall often returns once the initial panic passes.",S001,"Reassure and give a general coping tip","Replace professional mental-health care",en
G01,C013,social_support,support,L1_STRESS,"Talking to people you trust","Talking to friends, family, or classmates about exam pressure can reduce its weight. Sharing worries and study tips reminds you that you are not alone and that the feelings are normal.",S002,"Encourage healthy social support","Provide therapy or crisis counselling",en
G01,C014,help_seeking,support,L2_DISTRESS,"When to reach out for support","If stress feels constant, stops you sleeping or eating, or makes daily study impossible, it is a good idea to reach out for support. University counselling services and academic advisors offer free, confidential help to students.",S002,"Encourage seeking professional or academic support","Act as a substitute for that professional support",en
G01,C015,counseling_services,support,L2_DISTRESS,"University counselling services","Most universities have a student counselling or wellbeing centre. You can book a confidential appointment to talk through exam stress, low mood, or feeling overwhelmed. Asking for help is a sign of strength, not weakness.",S002,"Direct students to confidential campus support","Provide diagnosis or treatment yourself",en
G01,C016,crisis_support,safety,L3_CRISIS,"If you feel unsafe","If a student ever feels unsafe, has thoughts of harming themselves, or is in immediate danger, they should contact a local emergency number or a suicide prevention helpline right away, and reach out to someone they trust. Immediate human support is essential.",S001,"Provide safe escalation and urge contacting emergency services or a helpline","Attempt to counsel or manage a crisis without directing to human help",en
G01,C017,perfectionism,coping_skill,L1_STRESS,"Easing perfectionism","Aiming for perfect scores in every subject can increase stress and harm performance. Setting realistic, achievable goals for each study session keeps motivation high and reduces fear of failure.",S002,"Offer general goal-setting advice","Provide psychological treatment",en
G01,C018,balance,healthy_habits,L0_NORMAL,"Rest is part of studying","Rest and leisure are part of effective studying, not a distraction from it. Scheduling time for hobbies, friends, and relaxation helps your brain recover and improves long-term focus.",S003,"Encourage healthy study-life balance","Provide medical advice",en
G01,C019,study_environment,study_skills,L0_NORMAL,"Setting up a study space","A tidy, quiet, well-lit study space with your materials ready helps concentration. Studying in the same place each day can signal your brain that it is time to focus.",S003,"Give general study-environment tips","Provide medical advice",en
G01,C020,note_taking,study_skills,L0_NORMAL,"Effective note-taking","Summarise topics in your own words, use diagrams or mind maps, and condense notes onto a single page per topic. Teaching the material to someone else is a strong way to check understanding.",S003,"Give general note-taking advice","Provide medical advice",en
G01,C021,exam_preparation,exam_skills,L0_NORMAL,"Practising with past papers","Practising with past papers under timed conditions builds familiarity with the exam format and improves time management. Review your answers afterwards to find and fix knowledge gaps.",S003,"Give general exam-preparation advice","Provide medical advice",en
G01,C022,motivation,study_skills,L1_STRESS,"Rebuilding motivation","When motivation drops, remind yourself of your reasons for studying and reward small wins. Studying with a friend or group can add accountability and make difficult topics easier.",S003,"Offer general motivation tips","Provide psychological treatment",en
G01,C023,physical_symptoms,understanding,L1_STRESS,"Physical signs of exam anxiety","Exam anxiety can cause a racing heart, sweating, or an upset stomach. These are normal stress responses and usually pass. Slow breathing, light movement, and reassurance can ease them.",S001,"Explain common, normal stress symptoms","Diagnose medical conditions or panic disorder",en
G01,C024,social_comparison,coping_skill,L1_STRESS,"Avoiding comparison with others","Comparing your progress to classmates can increase anxiety. Focus on your own study plan and progress, since everyone learns at a different pace and shares different parts of their journey.",S002,"Offer a general self-help perspective","Provide psychological treatment",en
G01,C025,overwhelm,support,L2_DISTRESS,"Feeling overwhelmed by exams","Feeling completely overwhelmed by exams is hard. Breaking the next 24 hours into one or two small, doable steps, and talking to a tutor or counsellor, can make things feel more manageable.",S002,"Validate feelings and encourage support-seeking","Act as a substitute for a counsellor",en
G01,C026,family_pressure,support,L1_STRESS,"Coping with family pressure","Pressure from family expectations can add to exam stress. Honestly sharing how you feel, and focusing on effort rather than only results, can ease this. A counsellor can help if it feels too much.",S002,"Offer general coping advice and signpost support","Provide family therapy or treatment",en
G01,C027,routine,healthy_habits,L0_NORMAL,"Keeping a daily routine","Keeping a regular daily routine during exams - waking, studying, eating, and sleeping at consistent times - supports both focus and emotional stability.",S002,"Give general routine and wellbeing advice","Provide medical advice",en
G01,C028,focus,study_skills,L0_NORMAL,"Reducing phone distractions","Phones and social media are common study distractions. Turning off notifications, using focus modes, or keeping your phone in another room during study blocks improves concentration.",S003,"Give general focus and productivity tips","Provide medical advice",en
G01,C029,after_exam,exam_skills,L0_NORMAL,"After an exam","After an exam, avoid dwelling on answers or comparing with others, which raises stress for the next paper. Take a short break, then refocus on what is next.",S002,"Give general post-exam advice","Provide medical advice",en
G01,C030,self_compassion,coping_skill,L1_STRESS,"Being kind to yourself","Be kind to yourself during exams. One difficult paper or a missed study session does not define you. Treating yourself with the same encouragement you would give a friend supports resilience.",S002,"Offer a general self-compassion tip","Provide psychological treatment",en
